time,action,inst_id,side,price,size,ord_id,sl_price,tp_price,pnl_pct,vol_ratio,rsi,atr,status
2026-03-14 16:07:46,网格卖出 @0.1006,DOGE-USDT-SWAP,sell,0.1006,1,3388100577172348928,0,0,0.00,0.00,0.0,0.000000,success
2026-03-14 16:07:49,网格卖出 @0.1021,DOGE-USDT-SWAP,sell,0.1021,1,3388100676023705600,0,0,0.00,0.00,0.0,0.000000,success
2026-03-17 14:23:21,网格买入 @0.099712,DOGE-USDT-SWAP,buy,0.099712,1,3396587698635890688,0,0,0.00,0.00,0.0,0.000000,success
2026-03-17 14:23:24,网格买入 @0.099708,DOGE-USDT-SWAP,buy,0.099708,1,3396587789903945728,0,0,0.00,0.00,0.0,0.000000,success
2026-03-18 13:49:26,网格买入 @0.098954,DOGE-USDT-SWAP,buy,0.098954,1,3399418558221344769,0,0,0.00,0.00,0.0,0.000000,success
2026-03-18 14:13:13,网格买入 @2314.664223,ETH-USDT-SWAP,buy,2314.664223,1,,0,0,0.00,0.00,0.0,0.000000,failed
2026-03-18 14:13:14,网格买入 @2316.658603,ETH-USDT-SWAP,buy,2316.658603,1,,0,0,0.00,0.00,0.0,0.000000,failed
2026-03-18 14:13:15,网格买入 @2318.652982,ETH-USDT-SWAP,buy,2318.652982,1,,0,0,0.00,0.00,0.0,0.000000,failed
2026-03-18 20:51:31,网格卖出 @2322.641741,ETH-USDT-SWAP,sell,2322.641741,1,,0,0,0.00,0.00,0.0,0.000000,failed
2026-03-19 13:28:02,网格买入 @0.092892,DOGE-USDT-SWAP,buy,0.092892,1,3402274558934736896,0,0,0.00,0.00,0.0,0.000000,success
2026-03-19 17:27:26,网格买入 @0.094060,DOGE-USDT-SWAP,buy,0.09406,1,3402756523957903360,0,0,0.00,0.00,0.0,0.000000,success
2026-03-20 22:06:25,网格买入 @0.093276,DOGE-USDT-SWAP,buy,0.093276,1,3406217280829743104,0,0,0.00,0.00,0.0,0.000000,success
2026-03-20 22:17:57,网格买入 @0.093251,DOGE-USDT-SWAP,buy,0.093251,1,3406240508583305216,0,0,0.00,0.00,0.0,0.000000,success
2026-03-20 22:29:27,网格买入 @0.093282,DOGE-USDT-SWAP,buy,0.093282,1,3406263663825739776,0,0,0.00,0.00,0.0,0.000000,success
2026-03-20 22:41:56,网格买入 @0.093295,DOGE-USDT-SWAP,buy,0.093295,1,3406288805691875328,0,0,0.00,0.00,0.0,0.000000,success
2026-03-20 23:06:06,网格买入 @0.093322,DOGE-USDT-SWAP,buy,0.093322,1,3406337435324866560,0,0,0.00,0.00,0.0,0.000000,success
2026-03-20 23:16:00,网格买入 @0.093348,DOGE-USDT-SWAP,buy,0.093348,1,3406357393433911297,0,0,0.00,0.00,0.0,0.000000,success
2026-03-20 23:16:03,网格买入 @0.093448,DOGE-USDT-SWAP,buy,0.093448,1,,0,0,0.00,0.00,0.0,0.000000,failed
2026-03-20 23:16:04,网格买入 @0.093548,DOGE-USDT-SWAP,buy,0.093548,1,,0,0,0.00,0.00,0.0,0.000000,failed
2026-03-20 23:16:05,网格买入 @0.093647,DOGE-USDT-SWAP,buy,0.093647,1,,0,0,0.00,0.00,0.0,0.000000,failed
2026-03-20 23:18:55,网格买入 @0.093336,DOGE-USDT-SWAP,buy,0.093336,1,3406363270761111552,0,0,0.00,0.00,0.0,0.000000,success
2026-03-20 23:18:58,网格买入 @0.093436,DOGE-USDT-SWAP,buy,0.093436,1,,0,0,0.00,0.00,0.0,0.000000,failed
2026-03-20 23:18:59,网格买入 @0.093536,DOGE-USDT-SWAP,buy,0.093536,1,,0,0,0.00,0.00,0.0,0.000000,failed
2026-03-20 23:19:00,网格买入 @0.093636,DOGE-USDT-SWAP,buy,0.093636,1,,0,0,0.00,0.00,0.0,0.000000,failed
2026-03-20 23:34:08,网格买入 @0.093352,DOGE-USDT-SWAP,buy,0.093352,1,3406393889482301440,0,0,0.00,0.00,0.0,0.000000,success
2026-03-20 23:34:11,网格买入 @0.093452,DOGE-USDT-SWAP,buy,0.093452,1,,0,0,0.00,0.00,0.0,0.000000,failed
2026-03-20 23:34:12,网格买入 @0.093552,DOGE-USDT-SWAP,buy,0.093552,1,,0,0,0.00,0.00,0.0,0.000000,failed
2026-03-20 23:34:13,网格买入 @0.093652,DOGE-USDT-SWAP,buy,0.093652,1,,0,0,0.00,0.00,0.0,0.000000,failed
2026-03-20 23:40:27,网格买入 @0.093949,DOGE-USDT-SWAP,buy,0.093949,1,3406406621543751680,0,0,0.00,0.00,0.0,0.000000,success
2026-03-20 23:45:31,网格买入 @0.093948,DOGE-USDT-SWAP,buy,0.093948,1,3406416799978708992,0,0,0.00,0.00,0.0,0.000000,success
2026-03-20 23:56:41,网格买入 @0.093949,DOGE-USDT-SWAP,buy,0.093949,1,3406439193602646017,0,0,0.00,0.00,0.0,0.000000,success
2026-03-20 23:57:53,网格补单-买入 @0.093350,DOGE-USDT-SWAP,buy,0.09335,1,,0,0,0.00,0.00,0.0,0.000000,failed
2026-03-21 00:14:29,网格买入 @0.093777,DOGE-USDT-SWAP,buy,0.093777,1,3406475101878050816,0,0,0.00,0.00,0.0,0.000000,success
2026-03-21 00:15:37,网格补单 @0.093679,DOGE-USDT-SWAP,buy,0.093679,1,,0,0,0.00,0.00,0.0,0.000000,failed
2026-03-21 00:24:09,网格买入 @0.093881,DOGE-USDT-SWAP,buy,0.093881,1,,0.092003,0.09482,0.00,0.00,0.0,0.000000,failed
2026-03-21 00:25:13,网格补单 @0.093881,DOGE-USDT-SWAP,buy,0.093881,1,,0.092003,0.09482,0.00,0.00,0.0,0.000000,failed
2026-03-21 00:27:10,网格买入 @0.093780,DOGE-USDT-SWAP,buy,0.09378,1,,0.091904,0.094718,0.00,0.00,0.0,0.000000,failed
2026-03-21 00:28:14,网格补单 @0.093878,DOGE-USDT-SWAP,buy,0.093878,1,,0.092,0.094817,0.00,0.00,0.0,0.000000,failed
2026-03-21 00:29:18,网格补单 @0.093878,DOGE-USDT-SWAP,buy,0.093878,1,,0.092,0.094817,0.00,0.00,0.0,0.000000,failed
2026-03-21 00:30:45,网格买入 @0.093780,DOGE-USDT-SWAP,buy,0.09378,1,3406507852211642368,0.091904,0.094718,0.00,0.00,0.0,0.000000,success
2026-03-21 00:31:51,网格补单 @0.093586,DOGE-USDT-SWAP,buy,0.093586,1,,0.091714,0.094522,0.00,0.00,0.0,0.000000,failed
2026-03-21 00:32:56,网格补单 @0.093586,DOGE-USDT-SWAP,buy,0.093586,1,,0.091714,0.094522,0.00,0.00,0.0,0.000000,failed
2026-03-21 00:49:51,网格买入 @0.093776,DOGE-USDT-SWAP,buy,0.093776,1,3406546289518141440,0.0919,0.094714,0.00,0.00,0.0,0.000000,success
2026-03-21 00:50:57,网格补单 @0.093679,DOGE-USDT-SWAP,buy,0.093679,1,,0.091805,0.094616,0.00,0.00,0.0,0.000000,failed
2026-03-21 00:52:01,网格补单 @0.093484,DOGE-USDT-SWAP,buy,0.093484,1,,0.091614,0.094419,0.00,0.00,0.0,0.000000,failed
2026-03-21 00:59:16,网格买入 @0.093881,DOGE-USDT-SWAP,buy,0.093881,1,,0.092003,0.09482,0.00,0.00,0.0,0.000000,failed
2026-03-21 01:00:20,网格补单 @0.093784,DOGE-USDT-SWAP,buy,0.093784,1,,0.091908,0.094722,0.00,0.00,0.0,0.000000,failed
2026-03-21 01:01:24,网格补单 @0.093881,DOGE-USDT-SWAP,buy,0.093881,1,,0.092003,0.09482,0.00,0.00,0.0,0.000000,failed
2026-03-21 05:05:46,网格买入 @0.093258,DOGE-USDT-SWAP,buy,0.093258,1,,0.09046,0.094657,0.00,0.00,0.0,0.000000,failed
2026-03-21 15:55:09,网格买入 @0.094254,DOGE-USDT-SWAP,buy,0.094254,1,3408368940561686528,0.091426,0.095668,0.00,0.00,0.0,0.000000,success
2026-03-21 15:56:15,网格补单 @0.093937,DOGE-USDT-SWAP,buy,0.093937,1,,0.091119,0.095346,0.00,0.00,0.0,0.000000,failed
2026-03-21 20:49:49,网格买入 @0.093769,DOGE-USDT-SWAP,buy,0.093769,1,,0.090956,0.095176,0.00,0.00,0.0,0.000000,failed
2026-03-21 20:50:53,网格补单 @0.093769,DOGE-USDT-SWAP,buy,0.093769,1,,0.090956,0.095176,0.00,0.00,0.0,0.000000,failed
2026-03-21 20:51:57,网格补单 @0.093769,DOGE-USDT-SWAP,buy,0.093769,1,,0.090956,0.095176,0.00,0.00,0.0,0.000000,failed
